"sent_id","type","label","all_labels","ratings","workerids"
"1","target-negated","E","E,E,N,E,E","100,98.11,93.76,98.24,100","7,26,35,36,34"
"1","target-original","E","E,E,E,E,E","100,100,100,100,99.71","20,11,15,32,48"
"10","target-negated","N","E,N,N,N,E","100,26.99,83.97,7.6,99.59","28,109,127,123,44"
"10","target-original","E","E,E,E,N,N","100,99.28,100,4.41,72.21","119,11,84,94,125"
"1000","target-negated","N","N,N,E,N,E","90.85,46.85,100,50,100","85,66,142,92,111"
"1000","target-original","E","E,E,E,N,N","100,100,100,51.65,59.68","134,54,133,109,123"
"1002","target-negated","E","E,E,E,E,E","100,100,100,100,99.97","118,129,89,123,11"
"1002","target-original","E","E,E,N,E,E","98.41,99.22,34.25,100,100","20,78,92,111,104"
"1003","target-negated","N","N,N,N,E,E","20.7,93.69,97.3,98.95,99.25","39,148,133,83,60"
"1003","target-original","E","N,E,E,N,E","82.99,100,100,78.33,100","84,65,111,2,76"
"1005","target-negated","E","E,E,E,N,E","100,98.95,100,46.4,100","65,66,27,33,134"
"1005","target-original","E","E,N,E,E,E","100,91.18,100,99.66,100","117,76,51,60,111"
"1006","target-negated","E","E,E,E,E,E","100,100,100,100,100","85,46,66,13,104"
"1006","target-original","N","N,E,E,N,N","78.09,100,99.9,97.3,80.48","117,137,36,108,144"
"1008","target-negated","E","E,E,E,N,E","100,100,100,83.1,99.64","20,39,15,32,48"
"1008","target-original","E","E,E,N,N,E","100,100,85.24,86.97,100","7,26,35,36,34"
"1009","target-negated","E","E,E,E,N,N","100,98.88,100,80.48,93.76","65,66,27,33,35"
"1012","target-negated","N","N,E,N,N,N","48.65,100,44.16,80.83,87.75","119,91,22,128,2"
"1012","target-original","E","N,E,E,E,E","95.53,100,100,99.37,99.83","136,117,129,83,60"
"1017","target-negated","E","E,E,E,N,N","99.83,99.59,100,95.27,97.79","135,63,125,13,92"
"1017","target-original","E","E,E,E,E,N","100,100,98.92,99.02,90.06","118,129,35,83,2"
"1020","target-negated","E","E,E,N,E,E","100,100,93.62,99.06,99.34","20,15,32,45,48"
"1020","target-original","E","E,E,E,N,E","100,100,100,83.97,100","7,26,35,36,34"
"1022","target-negated","E","E,E,E,N,E","99.97,99.31,100,32.42,97.93","136,137,35,133,108"
"1022","target-original","E","E,E,E,E,E","100,99.9,100,100,100","78,58,142,13,104"
"1028","target-negated","N","N,N,E,E,N","2.55,70.87,100,98.95,3.46","11,66,27,8,85"
"1028","target-original","E","N,E,E,E,N","81.64,100,99.09,100,87.95","134,148,60,65,92"
"1033","target-negated","C","C,C,N,C,C","0.36,0,49.7,0.72,0","44,78,63,142,33"
"1033","target-original","E","E,E,E,E,E","100,100,99.28,100,99.51","39,52,54,108,60"
"1036","target-negated","C","E,C,C,C,E","100,0,0.43,0,100","119,91,44,78,111"
"1036","target-original","E","E,E,E,E,E","100,99.54,98.65,99.22,99.83","136,36,133,83,60"
"1038","target-original","E","N,E,N,E,E","97.74,100,14.65,98.69,99.88","136,117,129,83,60"
"104","target-negated","N","N,E,N,N,E","67.71,100,96.71,63.61,100","7,26,35,36,59"
"104","target-original","E","C,E,E,E,N","0,100,100,100,90.5","4,44,27,8,13"
"1040","target-negated","N","C,N,N,N,N","0,5.74,7.6,25.69,28.46","44,5,27,8,18"
"1040","target-original","E","E,E,N,E,N","98.24,100,18.48,100,96.88","7,26,35,28,36"
"1042","target-negated","N","N,N,N,N,N","32.29,62.45,53.9,45.36,15.07","7,52,48,97,118"
"1042","target-original","N","N,N,N,N,N","56.58,69.1,10.02,78.7,79.06","84,77,128,27,47"
"1045","target-negated","N","N,N,N,N,N","14.34,13.93,97.84,3.75,63.03","117,137,36,108,144"
"1045","target-original","E","E,N,E,N,E","100,80.83,100,74.18,100","85,46,66,13,104"
"1046","target-negated","N","C,C,N,N,N","0,0.19,10.65,50,49.4","4,44,27,8,13"
"1046","target-original","E","E,E,E,E,E","100,100,100,100,100","20,39,15,32,48"
"1047","target-negated","E","E,E,N,E,E","100,100,93.76,100,100","20,15,32,45,48"
"1047","target-original","E","E,E,E,E,E","100,99.93,100,99.71,100","22,44,8,2,97"
"1048","target-negated","E","E,E,E,N,E","98.41,99.83,100,85.97,100","22,126,100,2,35"
"1048","target-original","E","E,E,E,E,E","98.5,100,98.88,100,100","136,52,59,65,92"
"105","target-negated","E","N,E,E,N,E","95.77,100,100,68.27,100","135,78,142,13,104"
"105","target-original","E","E,E,E,N,N","100,99.06,100,62.45,50","117,137,54,116,123"
"1050","target-negated","N","N,E,N,N,N","79.42,100,49.1,20.46,54.34","119,91,22,128,2"
"1050","target-original","E","E,E,E,E,E","100,100,100,99.96,99.34","136,117,129,83,60"
"1051","target-negated","N","N,N,E,C,N","76.23,48.95,98.99,0,57.32","136,52,59,65,92"
"1051","target-original","E","E,E,E,E,N","100,99.71,100,98.2,91.1","22,126,100,2,118"
"1052","target-negated","N","E,N,N,N,N","100,6.16,5.95,96.37,3.02","91,63,125,13,92"
"1052","target-original","E","E,E,E,E,E","100,99.64,100,99.69,100","145,129,59,83,65"
"1054","target-negated","N","N,N,E,N,N","46.85,85.24,99.66,50.9,95.4","136,26,28,148,83"
"1054","target-original","N","N,E,N,C,N","50.15,100,4.73,0,34.39","119,91,92,111,2"
"1055","target-negated","C","C,N,N,C,C","1.8,49.85,25.04,0.88,1.71","94,8,79,58,117"
"1055","target-original","N","N,N,E,N,N","92.95,59.68,99.06,72.34,51.65","52,148,97,144,63"
"1057","target-negated","N","N,N,C,E,N","37.84,6.98,0.38,100,2.7","133,51,60,123,104"
"1057","target-original","E","E,E,E,E,E","100,100,99.43,100,100","65,77,94,66,27"
"1059","target-negated","N","N,C,C,N,N","8.9,0.02,1.08,68.41,36.39","22,44,46,27,8"
"1059","target-original","E","E,N,E,E,E","100,97.65,100,100,99.06","20,39,15,32,48"
"1060","target-original","E","E,E,N,E,E","99.31,100,97.5,100,100","119,46,94,125,130"
"1061","target-negated","E","E,N,E,E,E","100,96.77,100,100,98.88","85,84,22,100,107"
"1061","target-original","N","N,E,N,N,N","50.6,100,61.15,27.39,3.29","47,54,148,109,97"
"1064","target-negated","N","C,N,C,N,N","0,20.82,0,9.85,25.43","7,52,48,97,118"
"1064","target-original","N","E,N,E,N,N","100,93.02,100,97.3,96.93","84,27,100,107,63"
"1065","target-negated","E","E,E,E,E,E","99.12,99.28,100,99.22,100","54,36,108,109,134"
"1065","target-original","E","E,E,E,E,N","100,100,100,100,92.09","84,44,66,125,92"
"1067","target-negated","C","C,E,C,C,N","0,100,0.23,0,5.19","64,85,44,78,63"
"1067","target-original","E","E,E,E,E,E","100,100,99.51,98.54,100","39,54,108,60,137"
"1069","target-negated","N","N,N,N,N,E","64.9,54.05,93.17,85.24,100","85,134,118,26,137"
"1069","target-original","N","E,N,N,N,N","100,76.86,89.98,96.43,28.05","65,92,2,144,104"
"1070","target-negated","N","N,N,E,E,N","7.75,94.61,98.54,100,93.17","76,89,92,111,33"
"1070","target-original","N","N,N,N,N,N","97.3,88.04,76.23,84.18,93.25","118,117,137,34,77"
"1073","target-negated","E","N,E,E,E,E","85.55,100,99.75,100,100","85,134,118,137,77"
"1073","target-original","N","E,E,N,N,N","100,100,33.55,70.87,81.41","22,44,89,92,2"
"1078","target-negated","N","N,N,N,N,N","61.73,96.71,78.82,97.19,78.09","52,36,144,118,117"
"1078","target-original","E","E,E,E,E,N","99.85,100,99.4,99.96,70.19","11,84,8,58,63"
"1079","target-negated","E","E,E,E,E,E","100,100,99.51,99.34,100","39,54,108,60,134"
"1079","target-original","N","N,N,E,E,N","89.26,93.98,100,100,90.06","64,85,44,78,63"
"1081","target-negated","N","N,E,N,E,N","96.14,100,91.76,100,93.4","94,27,125,79,118"
"1081","target-original","E","E,N,E,E,N","98.73,92.95,100,100,77.23","109,127,34,65,92"
"1082","target-negated","E","E,E,E,N,E","100,100,98.24,96.71,99.16","39,54,148,133,60"
"1082","target-original","E","E,E,E,E,N","100,100,100,100,95.84","22,78,8,111,2"
"1083","target-negated","N","N,E,N,E,N","79.42,100,50.15,100,49.85","119,91,11,65,63"
"1083","target-original","N","N,N,C,N,N","94.74,6.6,1.84,34.11,15.18","39,54,108,51,97"
"1086","target-negated","N","N,N,E,N,E","75.34,94.88,100,97.6,100","134,118,137,76,77"
"1086","target-original","N","N,N,N,E,N","35.68,92.17,86.97,98.37,84.51","92,2,104,125,48"
"1087","target-negated","E","E,N,E,E,N","100,95.14,99.73,100,91.27","7,35,36,34,129"
"1087","target-original","E","E,E,E,E,N","100,100,100,100,85.55","22,44,46,27,8"
"1089","target-negated","N","N,N,N,N,E","84.51,88.98,14.97,18.48,100","94,27,125,79,137"
"1091","target-original","N","C,N,N,N,C","1.31,70.87,24.66,41.35,0.94","136,137,35,133,108"
"1092","target-original","N","N,N,N,N,N","90.85,15.71,81.98,11.11,76.1","134,118,117,52,129"
"1094","target-negated","N","E,N,E,N,N","100,94.68,100,96.98,86.07","84,27,100,107,118"
"1094","target-original","E","E,E,E,E,N","99.79,100,100,97.88,68.41","7,52,48,97,47"
"1095","target-negated","N","N,N,N,C,N","94.94,26.73,85.55,1.93,78.33","89,92,111,104,77"
"1095","target-original","N","N,E,N,N,E","51.95,100,92.87,15.82,99.69","26,137,34,129,84"
"1096","target-negated","N","E,N,N,N,N","99.34,51.05,6.6,86.97,71.41","44,65,95,111,2"
"110","target-negated","N","N,E,N,N,N","79.18,100,49.7,94.61,30.08","136,137,35,133,108"
"110","target-original","E","E,E,E,E,E","100,99.79,100,100,100","78,58,142,13,104"
"1102","target-negated","E","E,E,E,N,E","100,99.62,99.62,97.55,100","134,118,26,133,77"
"1102","target-original","E","E,E,N,N,E","100,100,92.09,90.5,100","65,28,111,144,104"
"1105","target-negated","N","E,N,N,N,N","99.51,64.61,66.74,66.17,63.89","44,92,2,144,77"
"1105","target-original","N","N,N,C,N,N","5.39,48.5,0,37.84,44.76","118,26,76,133,84"
"1107","target-negated","N","N,N,E,N,N","79.18,58.36,100,80.83,95.46","134,118,137,76,77"
"1107","target-original","N","E,E,N,N,N","99.59,100,71.68,97.79,57.02","44,65,28,92,104"
"1108","target-negated","N","E,E,N,N,N","100,100,87.95,75.98,95.59","22,44,8,2,97"
"1108","target-original","E","N,E,E,E,E","93.4,100,100,98.5,99.9","25,7,26,35,36"
"1109","target-negated","E","E,E,E,E,N","100,99.75,98.5,99.06,97.45","39,54,36,108,118"
"1109","target-original","E","E,E,E,E,N","99.22,99.83,100,100,90.5","119,135,65,63,107"
"1113","target-negated","E","N,E,E,N,E","90.06,100,100,97.5,100","47,54,148,109,97"
"1113","target-original","E","E,E,E,E,E","98.65,100,100,100,99.46","85,84,22,100,107"
"1114","target-negated","E","E,E,N,N,E","100,100,81.29,83.97,100","22,44,18,2,97"
"1114","target-original","E","N,E,E,E,E","95.71,100,100,100,100","20,38,15,32,129"
"1118","target-negated","E","N,E,E,N,E","50.15,98.81,99.9,97.25,100","47,26,28,36,34"
"1118","target-original","E","N,E,E,E,E","93.62,98.95,99.46,98.37,99.91","20,11,38,54,97"
"1125","target-negated","E","E,E,E,E,E","100,100,100,100,100","39,129,148,59,92"
"1125","target-original","E","E,E,E,N,E","100,100,100,87.17,100","18,92,111,2,104"
"1126","target-negated","E","E,E,E,N,E","99.22,98.92,99.94,97.7,100","47,26,28,36,34"
"1126","target-original","E","E,E,E,E,E","100,100,100,97.88,100","4,22,44,46,13"
"1127","target-negated","E","E,E,E,E,N","99.98,100,100,100,66.17","135,63,125,13,92"
"1127","target-original","N","N,E,E,N,N","63.32,100,100,81.29,97.09","118,129,35,83,92"
"1128","target-negated","E","E,E,E,E,N","100,100,100,100,96.49","91,22,65,111,2"
"1128","target-original","E","E,E,E,E,E","99.46,100,98.92,99.85,99.57","136,129,133,83,60"
"1130","target-negated","E","E,E,E,E,N","100,100,99.46,100,65.18","134,148,60,65,92"
"1130","target-original","E","C,E,E,E,E","0,100,100,100,100","11,66,27,8,134"
"1131","target-negated","E","E,E,E,N,N","100,100,98.11,94.88,97.79","134,54,133,109,123"
"1131","target-original","E","E,E,E,N,E","100,100,100,94.68,100","85,66,142,92,111"
"1133","target-negated","E","N,N,E,E,E","78.46,76.48,100,99.94,100","134,145,137,54,144"
"1133","target-original","E","E,E,E,E,N","99.93,100,100,100,82.2","44,78,8,104,85"
"1134","target-negated","N","N,N,E,N,E","90.42,73.27,99.85,75.34,100","20,11,38,54,97"
"1134","target-original","N","N,N,E,N,N","81.86,49.85,100,90.5,95.59","4,22,44,46,13"
"1135","target-negated","E","E,E,E,E,E","100,98.69,100,99.43,100","47,26,28,36,34"
"1135","target-original","E","E,E,E,E,E","100,100,100,100,100","4,22,44,46,13"
"1136","target-negated","E","E,E,E,E,E","99.31,100,100,100,100","20,44,8,13,104"
"1136","target-original","E","E,E,E,N,E","100,100,100,6.53,100","134,145,137,116,144"
"1137","target-negated","E","E,E,E,E,E","100,100,100,99.31,98.92","145,129,59,83,104"
"1137","target-original","E","E,E,E,N,N","100,100,100,91.68,95.96","91,63,125,13,92"
"1139","target-negated","E","E,E,E,E,N","100,100,100,99.22,96.31","39,129,28,83,116"
"1139","target-original","E","N,E,N,E,E","79.89,100,86.27,100,98.33","119,77,92,111,2"
"1140","target-negated","E","E,E,N,N,E","98.84,99.91,27.52,94.94,100","22,44,18,2,76"
"1140","target-original","N","E,N,N,N,N","100,83.43,96.54,7.99,68.69","43,47,26,28,34"
"1141","target-negated","N","N,N,N,N,N","24.91,16.47,91.02,20.46,68.69","119,77,92,111,2"
"1141","target-original","E","E,E,E,E,E","100,100,100,99.49,99.95","39,129,28,83,116"
"1144","target-negated","E","E,E,E,N,E","99.02,100,100,58.21,100","20,38,15,32,76"
"1144","target-original","E","E,E,N,E,E","100,100,90.5,98.37,100","22,44,18,2,129"
"1145","target-negated","E","E,N,E,E,E","98.54,95.4,100,99.59,100","47,26,28,36,34"
"1145","target-original","E","E,E,E,E,E","98.81,98.5,99.62,99.69,99.83","20,11,38,54,97"
"1150","target-negated","N","E,E,N,N,N","99.99,100,94.26,85.76,86.07","65,126,111,2,104"
"1150","target-original","E","N,N,E,E,E","87.37,78.82,100,100,99.4","134,118,129,76,83"
"1153","target-negated","E","E,E,E,E,E","100,100,100,100,100","20,11,15,32,48"
"1153","target-original","E","E,E,E,E,E","100,100,100,100,100","22,44,8,18,13"
"1156","target-negated","E","E,E,E,E,E","100,100,100,99.37,99.34","136,117,129,83,60"
"1156","target-original","E","E,E,E,E,E","100,100,100,100,100","119,91,22,128,2"
"1158","target-negated","E","E,E,E,E,N","100,100,100,100,95.14","136,145,137,35,133"
"1158","target-original","E","E,E,E,E,E","100,100,100,100,100","44,78,66,142,104"
"1159","target-negated","E","E,E,E,E,E","99.94,100,100,99.57,100","11,66,27,8,134"
"1159","target-original","N","N,E,N,E,N","96.14,100,92.25,100,42.38","134,148,60,65,92"
"116","target-negated","E","E,E,E,E,E","99.95,100,100,100,100","135,78,142,13,104"
"116","target-original","E","E,E,E,E,E","100,100,99.94,100,100","117,137,54,116,123"
"1160","target-negated","E","E,E,E,E,E","100,100,100,100,100","4,44,27,8,13"
"1160","target-original","E","E,E,E,E,E","100,100,100,100,100","20,39,15,32,48"
"1163","target-negated","N","N,N,E,N,N","95.9,3.46,100,49.1,78.46","85,46,66,13,104"
"1163","target-original","E","N,E,E,E,E","95.14,100,97.98,98.77,100","117,137,36,108,144"
"1165","target-negated","N","N,E,E,N,N","76.1,100,100,84.29,58.5","91,22,65,111,2"
"1165","target-original","E","E,E,N,N,E","99.22,99.71,77.1,90.59,99.83","136,129,133,83,60"
"1167","target-negated","E","E,E,E,E,E","99.85,100,100,99.73,100","11,84,8,58,85"
"1167","target-original","E","C,N,E,E,E","0,96.54,100,100,100","52,36,144,64,55"
"1168","target-negated","N","N,E,E,N,N","95.59,100,100,78.82,96.71","25,7,26,35,36"
"1168","target-original","E","E,E,N,E,E","100,100,9.33,100,100","22,44,8,2,129"
"1169","target-negated","E","E,C,E,E,N","100,0,100,100,82.65","136,52,59,65,92"
"1169","target-original","E","E,E,E,E,E","100,99.77,100,100,100","22,126,100,2,137"
"117","target-original","C","C,C,N,C,E","0.54,1.63,4.41,0.21,100","136,43,145,137,35"
"1171","target-negated","E","E,E,E,E,N","100,100,100,100,91.02","44,65,95,111,2"
"1171","target-original","E","E,E,E,E,E","100,100,100,100,99.16","76,28,133,34,60"
"1174","target-negated","E","E,E,E,N,N","100,100,100,50.9,79.54","22,44,27,8,2"
"1174","target-original","E","E,E,E,E,E","100,99.91,100,99.69,100","7,26,35,36,34"
"1175","target-negated","E","E,E,E,E,N","100,100,100,100,97.55","85,63,142,13,92"
"1175","target-original","E","E,E,E,E,E","100,100,100,99.4,100","145,129,137,83,92"
"1176","target-negated","N","E,E,N,N,N","100,100,21.42,90.93,22.03","39,129,28,83,116"
"1176","target-original","N","E,N,N,E,N","100,96.77,73.66,100,92.17","119,77,92,111,2"
"1178","target-negated","E","E,N,E,E,N","99.31,85.24,100,100,91.02","109,127,34,65,92"
"1178","target-original","E","E,E,N,E,E","98.77,100,78.33,100,100","94,27,125,79,118"
"1179","target-negated","E","E,E,E,N,E","100,100,100,95.4,99.02","85,84,22,100,107"
"1179","target-original","E","E,E,E,N,N","100,99.02,100,97.25,97.6","47,54,148,109,97"
"118","target-negated","N","E,N,N,E,N","98.69,73.66,85.14,99.46,4.67","36,133,51,60,144"
"118","target-original","E","E,E,E,E,E","100,100,99.88,100,100","11,65,94,66,27"
"1180","target-negated","E","E,E,E,N,E","100,100,99.06,93.4,100","145,108,109,89,144"
"1180","target-original","E","E,E,E,E,E","100,100,100,99.69,100","135,8,13,107,104"
"1182","target-negated","E","E,E,N,E,E","100,100,96.02,99.62,99.34","39,148,133,83,60"
