"language","enjoyment","asses","age","gender","education","fairprice","comments","anon_id"
"english","2","Yes","34","Male","2","1","Everything was straight forward and I prefer not having to visit another website to complete the HIT.  Thanks! ","4"
"english","2","Yes","50","Female","2","1","","1"
"English","2","Yes","46","Male","1","1","Thank You","5"
"","-1",NA,NA,"","-1","-1","","3"
"English","2","Yes","27","Female","3","1","","2"
"English","1","Yes","55","Female","2","1","","7"
"english","2","Yes","49","Female","2","1","","11"
"ENGLISH","2","Yes","35","Male","2","1","GREAT DEAL","10"
"english","2","Yes","53","Female","4","1","Some of these were highly subjective. A challenging and thought-provoking task. Thanks!","12"
"ENGLISH","1","Yes","35","Male","3","1","NICE","6"
"english","1","Yes","34","Female","2","1","","9"
"English","2","Yes","41","Male","4","1","","8"
"English","1","Yes","42","Female","2","1","N/A","14"
"English","2","Yes","48","Male","1","1","","13"
