"enjoyment","asses","fairprice","comments","clicked_on_faq","anon_id"
"1","Yes","1","",0,20
"1","Yes","0","Some of the comments were hard to sort and place based on the statement given.",0,85
"1","Yes","0","Some of the statements were hard to make predictions are given the text.",0,85
"2","Yes","1","",0,113
"1","Yes","1","",0,134
"1","Yes","1","",0,134
"1","Yes","1","",0,134
"1","Yes","1","",0,134
"2","Yes","1","I always enjoy your HITs and I'm glad to see these dropping today!",0,39
"2","Yes","1","Really interesting Hit",0,84
"2","Yes","1","Great Hit!",0,84
"2","Yes","1","",0,74
"1","Yes","1","",0,22
"-1",NA,"-1","",0,118
"-1",NA,"-1","",0,118
"0","Yes","0","",0,118
"0","Yes","0","",0,118
"-1",NA,"-1","",0,118
"-1",NA,"-1","",0,118
"2","Yes","1","",0,47
"1","Yes","1","no comments",0,26
"1","Yes","1","",0,117
"2","Yes","1","no issues",0,52
"-1","Yes","-1","",0,129
"-1",NA,"-1","",0,129
"-1",NA,"-1","",0,129
"1","Yes","-1","",0,129
"-1",NA,"-1","",0,129
"-1",NA,"-1","",0,129
"-1",NA,"-1","",0,129
"2","Yes","1","",0,78
"1","Yes","1","",0,78
"1","Yes","0","some include a lot of reading and sometimes confusing.",0,65
"1","Yes","0","",0,65
"1","Yes","0","",0,65
"2","Yes","1","Thanks!",0,46
"2","Yes","1","",0,77
"2","Yes","1","",0,126
"1","Yes","1","",0,66
"1","Yes","1","",0,76
"1","Yes","1","",0,54
"1","Yes","1","",0,54
"1","Yes","1","",0,54
"1","Yes","1","",0,148
"1","Yes","1","",0,148
"1","Yes","0","",0,148
"1","Yes","1","thanks",0,133
"2","Yes","1","",0,59
"1","Yes","1","",0,16
"1","Yes","1",NA,0,18
"2","Yes","1","",0,83
"2","Yes","1","",0,83
"2","Yes","1","",0,83
"2","Yes","1","",0,83
"2","Yes","1","nice hit, played perfectly.",0,109
"2","Yes","1","Thanks for the great hit and fair payment! ",0,109
"1","Yes","1","I didn't notice any errors or typos and had no issues at all, thanks!",0,21
"1","Yes","1","",0,89
"2","Yes","1","",0,100
"2","Yes","1","",0,100
"2","Yes","1","",0,100
"1","Yes","1","",0,122
"2","Yes","1","",0,142
"2","Yes","1","",0,142
"2","Yes","1","",0,48
"1","Yes","1","",0,13
"1","Yes","1","",0,92
"1","Yes","1","",0,92
"1","Yes","1","",0,92
"1","Yes","1","",0,92
"2","Yes","1","",0,92
"1","Yes","1","",0,92
"2","Yes","1","",1,92
"1","Yes","1","",0,34
"2","Yes","1","It would be nice to go back and edit our previous answers if we make a mistake and go forward.",1,111
"2","Yes","1","",0,111
"2","Yes","1","",0,111
"2","Yes","1","",0,111
"2","Yes","1","",0,111
"1","Yes","1","",0,107
"2","Yes","1","",0,107
"2","Yes","1","",0,2
"2","Yes","1","",0,2
"2","Yes","1","",0,2
"2","Yes","1","",0,2
"2","Yes","1","",0,2
"1","Yes","1","",0,49
"2","Yes","1","",0,97
"2","Yes","1","",1,97
"1","Yes","1","",0,144
"1","Yes","1","",0,104
"1","Yes","1","",0,104
"1","Yes","1","",0,104
"1","Yes","1","",0,104
"1","Yes","1","",0,104
"2","Yes","1","",0,123
"2","Yes","1","",0,123
"2","Yes","1","",0,123
"2","Yes","1","",0,123
"2","Yes","1","",0,123
