"id","premise","hypothesis","type","trigger","resp_1","resp_2","resp_3","resp_4","resp_5","mean_resp","sd_resp"
"1","The cops had him in their headlights. He ran hard and fast, fiercely pumping his legs, his arms, but they gained on him quickly, swerving in front of him to block his way.","He was standing earlier.","target-prior","change_of_state",92.56,100,100,NA,NA,97.52,4.29548600277081
"1","The cops had him in their headlights. He ran hard and fast, fiercely pumping his legs, his arms, but they gained on him quickly, swerving in front of him to block his way. Winded, aching, he didn't fall on his knees in the street.","He was standing earlier.","target-negated","change_of_state",93.76,100,100,98.24,98.11,98.022,2.55170923108414
"1","The cops had him in their headlights. He ran hard and fast, fiercely pumping his legs, his arms, but they gained on him quickly, swerving in front of him to block his way. he fell on his knees in the street.","He was standing earlier.","target-original","change_of_state",100,100,100,100,99.71,99.942,0.129691942694991
"1008",""" If somebody messes up, I usually get mad. That's just the competitor in me.","I am some way.","target-prior","embedded_question",99.25,90.67,100,100,NA,97.48,4.55374571095049
"1008",""" If somebody messes up, I usually get mad. That's just the competitor in me. Sometimes it comes out mad, but my teammates don't know how I am.","I am some way.","target-negated","embedded_question",100,100,100,99.64,83.1,96.548,7.51927656094654
"1008",""" If somebody messes up, I usually get mad. That's just the competitor in me. Sometimes it comes out mad, but my teammates know how I am.","I am some way.","target-original","embedded_question",100,85.24,100,100,86.97,94.442,7.63514374455387
"1020","In the coming months, I will return to Comite for further tests and to decide whether I should make myself into a bit of a science experiment. Lucky you, you'll get to watch and maybe even learn from my mistakes.","My cholesterol has a certain number and the cholesterol particles traveling though my bloodstream have a certain size.","target-prior","embedded_question",96.02,0.19,100,49.4,NA,61.4025,46.8300774965549
"1020","In the coming months, I will return to Comite for further tests and to decide whether I should make myself into a bit of a science experiment. Lucky you, you'll get to watch and maybe even learn from my mistakes. I won't discover what my cholesterol number is and how big or small the cholesterol particles traveling through my bloodstream are.","My cholesterol has a certain number and the cholesterol particles traveling though my bloodstream have a certain size.","target-negated","embedded_question",99.06,93.62,99.34,100,100,98.404,2.70589726338603
"1020","In the coming months, I will return to Comite for further tests and to decide whether I should make myself into a bit of a science experiment. Lucky you, you'll get to watch and maybe even learn from my mistakes. I will discover what my cholesterol number is and how big or small the cholesterol particles traveling through my bloodstream are.","My cholesterol has a certain number and the cholesterol particles traveling though my bloodstream have a certain size.","target-original","embedded_question",83.97,100,100,100,100,96.794,7.16883393586433
"104","And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with.","what they faced in the House is a tightrope.","target-prior","comparatives",63.61,1.59,88.23,100,44.02,59.49,38.9735583440876
"104","And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with. So they've got a tight, it's a tougher road to walk for the White House, not a more delicate tightrope than what they faced in the House because they, the Senate Democrats are notoriously more independent and will be expected to, I think that they, it's like Senator Byrd, who just said yesterday as a Democrat, he talked about the President's Rose Garden speech after that impeachment and he called it an exercise of...","what they faced in the House is a tightrope.","target-negated","comparatives",100,96.71,67.71,63.61,82.76,82.158,16.4562532187616
"104","And I think George is absolutely right, they're going to start moving for delays. But they've got to figure out what kind of delays they go for and how much they can afford to possibly alienate some Democratic senators who want to go ahead and get this thing over with. So they've got a tight, it's a tougher road to walk for the White House, a more delicate tightrope than what they faced in the House because they, the Senate Democrats are notoriously more independent and will be expected to, I think that they, it's like Senator Byrd, who just said yesterday as a Democrat, he talked about the President's Rose Garden speech after that impeachment and he called it an exercise of...","what they faced in the House is a tightrope.","target-original","comparatives",0,90.5,100,100,100,78.1,43.8525939939703
"1040","Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman. ....","I am very doubtful, untrusting.","target-prior","factives",3.07,55.69,0.94,73.92,22.28,31.18,32.4472163675099
"1040","Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman. .... And in my dream I don't find that I am very doubtful, untrusting.","I am very doubtful, untrusting.","target-negated","factives",0,28.46,5.74,25.69,7.6,13.498,12.7443642446377
"1040","Sometimes, like it or not, I dream I am sick with the Plague and living in that smoky little hut with the old woman. .... And in my dream I find that I am very doubtful, untrusting.","I am very doubtful, untrusting.","target-original","factives",98.24,96.88,100,18.48,NA,78.4,39.9670797865777
"1046","Ellie clipped coupons like crazy, and called up their credit card companies to ask for lower APRs. Two decades later, Ellie travels the world for speaking engagements and has authored 14 books on personal finance.","The struggles of those newlywed years have inspired everything that followed.","target-prior","factives",51.05,47.15,29.94,21.54,97.45,49.426,29.4595286791897
"1046","Ellie clipped coupons like crazy, and called up their credit card companies to ask for lower APRs. Two decades later, Ellie travels the world for speaking engagements and has authored 14 books on personal finance. She doesn't say that the struggles of those newlywed years have inspired everything that followed.","The struggles of those newlywed years have inspired everything that followed.","target-negated","factives",0.19,0,49.4,50,10.65,22.048,25.6088221127017
"1046","Ellie clipped coupons like crazy, and called up their credit card companies to ask for lower APRs. Two decades later, Ellie travels the world for speaking engagements and has authored 14 books on personal finance. She says that the struggles of those newlywed years have inspired everything that followed.","The struggles of those newlywed years have inspired everything that followed.","target-original","factives",100,100,100,100,100,100,0
"1047","If this issue is so one-sided and you truly are the majority, why is it your own employer, the Heritage Foundation-a national think-tank, conservative-takes no stand on this issue and, in fact, offers no advice on this public policy question for the White House? Why?","Their contributer base and their member base is split on this issue.","target-prior","factives",75.6,0.38,78.82,73.27,96.37,64.888,37.1870403501005
"1047","If this issue is so one-sided and you truly are the majority, why is it your own employer, the Heritage Foundation-a national think-tank, conservative-takes no stand on this issue and, in fact, offers no advice on this public policy question for the White House? Why? Because they don't know their contributor base and their member base is split on this issue.","Their contributer base and their member base is split on this issue.","target-negated","factives",93.76,100,100,100,100,98.752,2.79061283591974
"1047","If this issue is so one-sided and you truly are the majority, why is it your own employer, the Heritage Foundation-a national think-tank, conservative-takes no stand on this issue and, in fact, offers no advice on this public policy question for the White House? Why? Because they know their contributor base and their member base is split on this issue.","Their contributer base and their member base is split on this issue.","target-original","factives",81.98,100,99.93,99.71,NA,95.405,8.95085284577211
"1059","Lester also noted that research on group dynamics indicates that increasing the size of the group eventually increases the chances that a dominant member will emerge and force conformity from the other group members. Thus, there is a limit to the size of a group for effective functioning.","Four to ten subselves is ideal.","target-prior","factives",81.52,74.18,80.36,50.6,NA,71.665,14.4081400603964
